artista,cancion,album,año,spotify_id,popularidad
The Black Keys,Howlin' for You,Brothers (Deluxe Remastered Anniversary Edition),2020,4yffABDkB5A9flvr9vQFck,64
Måneskin,THE LONELIEST,THE LONELIEST,2022,1Ame8XTX6QHY0l0ahqUhgv,67
Måneskin,Torna a casa,Il ballo della vita,2018,3590AAEoqH50z4UmhMIY85,62
LiSA,紅蓮華,LEO-NiNE,2020,0qMip0B2D4ePEjBJvAtYre,71
Twenty One Pilots,Chlorine,Trench,2018,23OXdR7YuUBVWh5hSnYJau,73
Imagine Dragons,Lonely,Mercury - Acts 1 & 2,2022,1VMBapbhHidf6ALFszT7w1,65
Queen,I Want It All - Single Version,The Miracle (Collector's Edition),2022,1gBNoqhVLbIMuBQmXKmyLj,62
Brett Eldredge,It's the Most Wonderful Time of the Year,Mr. Christmas,2021,1j51n0VAlLbbHWLHDAX2Ts,67
grandson,Blood // Water,Blood // Water,2018,0AUyNF6iFxMNQsNx2nhtrw,69
Elton John,Hold Me Closer,The Lockdown Sessions,2021,5TJEBoTCDbJXiKMdCN9pd3,64
Wham!,Last Christmas,George Michael & Wham! Last Christmas: The Original Motion Picture Soundtrack,2019,38p8YDx5gepOiK4SnEfoB4,71
Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Origins (Deluxe),2018,2bzitsPcImYC6DZWvvLCQi,65
OneRepublic,Rescue Me,Human (Deluxe),2021,37LNNQNbL1YLyutBG6aWRx,68
Kodaline,Brother,Politics of Living,2018,65gLJGey4u4KFFqoC5fzFJ,69
OneRepublic,Sunshine,Sunshine,2021,5r43qanLhUCdBj8HN3fa6B,68
Robbie Williams,Let It Snow! Let It Snow! Let It Snow!,The Christmas Present (Deluxe),2019,6G2nMAKHjYpIweohc2qhwI,55
Rammstein,Ausländer,Rammstein,2019,7j43FohbLVulScL7S9sQZk,67
Måneskin,Morirò da Re,Il ballo della vita,2018,1aX0Ki80LFzzhqxqRlqbAV,62
Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix Radio Edit,Good Morning Music: Wake Up Workout,2019,5qGIfWDRdyO67LCTqA2sEn,67
Måneskin,SUPERMODEL,SUPERMODEL,2022,63WuQOXohQIxOxIFA2K7bR,64
Brett Eldredge,A Holly Jolly Christmas,Glow (Deluxe Edition),2018,1GpPsjjd4D1jsteGYpGGIN,66
Queen,The Show Must Go On,Bohemian Rhapsody (The Original Soundtrack),2018,5WZDLZVCvY1rEyNir6k8Pg,60
Procol Harum,A Whiter Shade of Pale - Original Single Version,Hits'n'Flips,2019,7DsQgIwg23u9gooCxkRTu3,65
The Strokes,Selfless,The New Abnormal,2020,2t0wwvR15fc3K1ey8OiOaN,67
Queen,Somebody To Love,Bohemian Rhapsody (The Original Soundtrack),2018,5txoZyuAmtCfmDjUCEphWm,61
Slipknot,Unsainted,We Are Not Your Kind,2019,5mpUKTdskZea0gStWzeHUZ,70
The Neighbourhood,Pretty Boy,Chip Chrome & The Mono-Tones,2020,7IL8PSVwLOJxqYne6azxQv,74
Brenda Lee,Rockin' Around the Christmas Tree - Re-Recorded Version,100 Greatest Christmas Songs Ever,2022,27jhnberlYbjEgL3oFL4BA,64
Ghost,Dance Macabre,Prequelle,2018,4pIKFpwflOdhYNIRmPTj3E,61
Maná,Te Lloré Un Río,Te Lloré Un Río,2022,6uYtv0KmSNBGFfaY7yW8tY,64
The Neighbourhood,Nervous,Hard To Imagine The Neighbourhood Ever Changing,2018,113xf7t4qNM7038YJvauik,71
Los Fabulosos Cadillacs,Matador - Remasterizado 2008,Obras Cumbres,2021,4bMZ60QNM6OEehI6b8RtS4,64
Måneskin,MAMMAMIA,MAMMAMIA,2021,78SCmQ8A7KQSMdkem2SwBP,62
Maná,Mariposa Traicionera,Mariposa Traicionera,2021,5YPyuMfaK6GjdFfRaryJak,61
No Te Va Gustar,Chau,Otras Canciones,2019,3uP1USIwwDpOA8uw0LjY2P,65
The Strokes,Ode To The Mets,The New Abnormal,2020,1BLOVHYYlH4JUHQGcpt75R,66
Rammstein,Radio,Rammstein,2019,5vZ4IeUenK2cHub2d7yfWk,66
Bryan Adams,Christmas Time,Christmas EP,2019,7LoFMtL7hxP9tr5HYyyUrJ,69
OneRepublic,Run,Run,2021,2UbVnbE5FH6008mAm6Mmgw,66
RAT BOY,Who's Ready for Tomorrow,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",2020,4mn5HdatHKN7iFGDes9G8i,66
Queen,Killer Queen,Bohemian Rhapsody (The Original Soundtrack),2018,300YN8ebGB90nDuzgz0f3O,62
Fog Lake,Almost Fantasy,Almost Fantasy,2018,7remWdQdxAjzfY269DlFgy,68
Hozier,Would That I,"Wasteland, Baby!",2019,0L3oQdYUvVbsOOPJSkZ3C3,67
Duran Duran,INVISIBLE,FUTURE PAST,2021,51EpFns3CG9taCMQz6XDom,67
Wet Leg,Wet Dream,Wet Leg,2022,260Ub1Yuj4CobdISTOBvM9,65
Imagine Dragons,My Life,Mercury - Acts 1 & 2,2022,0E0kxko3i9b5JxxMoGH3At,60
The Black Keys,Wild Child,Dropout Boogie,2022,02bJ6uGeHKfNOhIc9qyA8e,64
Lenny Kravitz,Low,Raise Vibration,2018,3zcccQe4KhGXRqRBUwGU3G,62
Air Supply,Making Love Out of Nothing at All,All Out Of Love,2018,01MXkFA8sL7at6txavDErt,70
Måneskin,FOR YOUR LOVE,Teatro d'ira - Vol. I,2021,3ZeyEvTgSlKajHc0fckgZT,61
Manchester Orchestra,The Gold - Phoebe Bridgers Version,The Gold (Phoebe Bridgers Version),2018,7qcXUzPwoxSBFxjTbNrV0B,71
Bring Me The Horizon,1x1 (feat. Nova Twins),POST HUMAN: SURVIVAL HORROR,2020,6sIbv1oWOuma2qV907MUbk,65
Chris Rea,Driving Home for Christmas,100 Greatest Christmas Songs Ever,2022,7sb0kqzLtURMFWbQDX4BZ4,64
