artista,cancion,album,año,spotify_id,popularidad
DJ Snake,Selfish Love (with Selena Gomez),Selfish Love (with Selena Gomez),2021,3XoflnowYPFRPOh3uFvHcm,52
DJ Snake,Run It (feat. Rick Ross & Rich Brian),Shang-Chi and The Legend of The Ten Rings: The Album,2021,5x4vgABKiGp4Vg7ZyFRxhn,56
Populous,Banda,W,2020,6YShNhG2emvYQeh5nSMpiX,44
Peces Raros,Cicuta,Dogma,2021,49zmg7q7EMqJzOUf88Bz7C,48
MEUTE,Hey Hey,Hey Hey,2018,5Ix1TtnsaCMcDjn3WAKYQE,43
Caribou,You and I,Suddenly,2020,3fE5R4go6pHVxwG3sR3Uza,44
Cerrone,Supernature (Instrumental CLIMAX edit),Supernature (instrumental),2018,7nIsxHK8t1p215mXLpZgbh,46
DJ Dark,Crazy (feat. Martova),Crazy,2018,3eZ7giMTVT6oa0u4BvCrCQ,41
Burial,Nova,Nova / Moth,2022,7dYjEwbLJ1B5reoz3lWra0,48
JOYRYDE,DAMN,BRAVE,2020,3sI0ekqQTE7NxdZhNFqF93,51
Metronomy,Salted Caramel Ice Cream,Metronomy Forever,2019,13QZb2ua0JY2VJU9wG4PmQ,42
Paul Kalkbrenner,Si Soy Fuego,Si Soy Fuego,2021,6oa8rEFHMIrYpHh3AmsaMa,43
Return Of The Jaded,I'm in Love with You,I'm in Love with You,2021,6cVgPQEvXfXaWoUjZW45PK,46
Miranda!,Dos,Dos,2022,5Eusj6NCSedMJdPMn6V7EG,49
Miss Monique,Electric,Electric,2022,62piGIpUTsY8HA7tdjfLS8,46
Sickflip,Mehmaan,Mismatched: Season 2 (Soundtrack from the Netflix Series),2022,3s5Rz3KFms39ZrFDw2jt4r,51
Metronomy,Uneasy - Metronomy x spill tab,Uneasy - Metronomy x spill tab,2021,6HOXiIuMfKzEpWsdZ02wZL,46
Bonobo,Tides,Fragments,2022,622fSIVOm6SPcLPNOoYeJn,50
Babasonicos,Mimos Son Mimos,Trinchera,2022,0AK6oKtH1xi0y66ZkN6OGT,54
PAAX (Tulum),Sera El Sol (Mixed),Sera El Sol (Mixed),2019,0DuArLlUDXWVai9lzOlXJQ,46
Maribou State,Feel Good,Kingdoms In Colour,2018,3PURbsY67tLMyausOABtit,52
BLOOM,Earth Breath,"El Mundo EP, Pt. 2",2018,63S0g1NOuVCQuWjtyCOHyf,47
Zero 7,Swimmers,Swimmers,2019,3RMuJ4qdkgs71mBNbPpZu0,49
islandman,Sumeru,Kaybola (Deluxe Version),2020,2gL3yeSrVcdgYUgebT6TKN,46
Metronomy,Lying Low,Metronomy Forever,2019,33wnKtwSSfYKE6moZNHZ53,45
Bob Moses,Afterglow,Old Love / The Silence in Between,2022,1Aic3Xbzma3Nb0sSwqGCdf,49
Faithless,Innadadance (feat. Suli Breaks & Jazzie B) (Meduza Remix) (Edit),All Blessed (Deluxe),2021,6dcPN10aGwblHJKR2BdoX7,47
El Búho,Cumbia Sobre el Mar - El Búho Remix,Cumbia Sobre el Mar / Inmortales (El Búho Remixes),2019,0p8LlXT1FG9vnrCH70dbuo,42
Mijangos,Aqui Se Baila - Afro Latin Mix,Aqui Se Baila (Afro Latin Mix),2018,6jo8xMFaWUqRzqb9WisxAS,36
J Paul Getto,Move Me - Radio Edit,Move Me (Radio Edit),2020,7CNzXNCpLHc8xjLmFkp3TS,41
Bomba Estéreo,Deja,Deja,2021,2ik8UFH9uZK065mFeoQoz9,39
Otnicka,Babel,Babel,2020,0ZnwzjB40zdTZrEwPvaRqG,51
Bedouin,Petra,Petra,2022,4jX35n5hgGPbUaFYtNXa5r,42
PAAX (Tulum),Paax En Cuba,Sera El Sol (Mixed),2019,0VT8TQIosJMO1Tv9BUcW5P,41
Fukkk Offf,Pacific Coast Highway,Gaming Music 2020,2020,2XrmzX4qqHDg3Uxjbnv2tk,41
Peter Cat Recording Co.,Soulless Friends,Bismillah,2019,4U5TPHqsmvVzc8CCZPLfzg,50
Paul Kalkbrenner,Part Four,Parts of Life,2018,3pQK5lgb8S01XeIWwHRSLH,43
Róisín Murphy,Murphy's Law (Edit),Murphy's Law,2020,5pVk9zx3qrtmx3ya8hyanZ,44
Poshlaya Molly,Контракт,Контракт,2021,2bqS0QtnXGjOYs3z6VtSyW,61
Hucci,Vision - Slowed,Vision (Slowed),2019,1NFqszFNaYFCTjdGb3TfSh,56
BICEP,Atlas,Isles,2021,54TgI46OnNqcf0SyzQyCL6,48
BICEP,Atlas,Isles,2021,54TgI46OnNqcf0SyzQyCL6,48
Thievery Corporation,San San Rock,Treasures From The Temple,2018,0tutwq4hC8qFaLvLb1rEFQ,46
Miss Monique,All I Got,All I Got,2022,5bsWIPw0w09vT2lDV2nDQw,46
Ash,Worlds Apart,Worlds Apart,2019,1jEy4S0PriJSPxBIc7XreS,50
WhoMadeWho,UUUU - &ME Remix,UUUU (&ME Remix),2022,0rfLJGjPdvqHXgvDCTdGc6,46
Christian Löffler,New Fires,New Fires,2022,6I7nESv5d9zf9DcEA9I25u,45
Maribou State,Kingdom,Kingdoms In Colour,2018,46SpOq8ojlVUBrgGnUzUlV,50
Little Dragon,Where You Belong,"New Me, Same Us",2020,0WPOxxoEVoglAvhqroDpQA,52
RL Grime,UCLA,NOVA,2018,0r8RKKIc4C8G6J9HAHzpaR,59
Pomo,Intoxicated,Intoxicated,2018,2JRtD3QjOULLeguptl6riM,46
Alef,Sol,Sol y Luna,2018,4FlR74PQh9SUnxDyFkoK1a,45
Gidge,Quasar,New Light,2020,4auPkl8KDB2a1kk4zj0HHp,46
Ilija Djokovic,Neon,Vega / Neon,2021,5NBVxhKQHqQby4P061krfi,44
KC Lights,Girl,Girl,2020,0WAgwdyjTwx2TT55W8z8lu,45
Weval,Should be Fine,Forever,2022,294WNoHHRNJ1QMAXy5FdDX,46
Pongo,Kuzola,Baia,2019,2aDPkl4GCO2b53goL5Ia4W,44
Valentino Khan,Move It,Move It,2022,2YUVIkvZ2tPEZYTepX6oT9,50
Modeselektor,Who,Who Else,2019,0SLrmN7eDfGrGQKKji1nKF,42
Tensnake,Antibodies,L.A.,2020,2kEvC6w9wRf96llW9sJrRU,40
Bonobo,Linked,Linked,2019,3rCtueI7qBN2kZBZnXuk5K,47
La Goony Chonga,Que Te Gusta,Dimen5ión,2019,1orObF60oJZnbfWwo9zcRL,39
Rhye,Feel Your Weight,Blood,2018,6bRVkUr1fyZVX4XwQ4RpaR,43
Ash,Give a Little (feat. Naila),Give a Little (feat. Naila),2018,5TjdmkuqqjkyIIVuDqyFPE,49
Martin Jensen,At Least I Had Fun,At Least I Had Fun,2020,7jqXDgGWkV4w2ctdb2g59o,48
Guy Gerber,Bocat - Michael Bibi Remix,Bocat (Michael Bibi Remix),2022,32eqGAgvDMAucaoD7es7uv,44
Lucky Luke,Give It To Me,Give It to Me,2022,295xtgZ3JSGn94tYWbM5QG,47
Mark Alow,Trip To The Lonely Planet,Nebula EP,2018,3AoPhInlcd98u7Z1vmwHdk,45
MORTEN,No Good,No Good,2022,0oS1yir1qJvwCsFPdaBiqN,44
Dian Solo,Highway To Hell - Radio Edit,Highway To Hell,2020,58CVSbD0I65qaOKPz694LV,45
Cerrone,Summer Lovin' - Edit,Summer Lovin',2022,7q0vM8woumdTUt30GasolR,44
Scooter,Paul Is Dead,God Save The Rave,2021,00I6ELT2uun44UX8y7vCBz,51
Peter Cat Recording Co.,Floated By,Bismillah,2019,556jf0hyPQuLNHuNWo12I5,50
Hippie Sabotage,Life Happens,Floating Palace,2021,3zFBsXhCmBIrupI5MPOKR4,57
DJ Dark,California Dreamin' (radio Edit),California Dreamin',2021,5hqXIYPyK2ICjxq8TsDgyh,40
Sahalé,Les Fleurs du Mal,"Buddha Bar XXI - Paris, the Origins",2019,4GfcKYlHopWDRJ3ktq4w3j,45
Rhye,A Whiter Shade Of Pale - Recorded at Spotify Studios NYC,Spotify Singles,2018,6AcYLHkLDFn6qcZiPS6xNc,41
Jimmix,Carrusel - Radio Mix,Carrusel,2022,1QXu9ubYFn5Rc2kIXFxlNE,41
Tensnake,Antibodies - LP Giobbi Remix,Antibodies,2021,6a8LfgC5aAaHNhsQcGQY1r,51
Paul Kalkbrenner,No Goodbye - Extended Version,No Goodbye,2019,6rGBks2LevDjAMo5KJq88Y,45
Moby,This Wild Darkness - Edit,This Wild Darkness - Edit,2018,5ivnEtHX6OExzDKUWA4AE1,33
DJ Dark,Another Day in Paradise (Radio Edit),Another Day in Paradise,2021,592A16PfKx2vCnHwzIPTUE,42
Tycho,Japan - Satin Jackets Remix,Weather Remixes,2020,4riBORG5X5kvQThwODPDDh,46
WhoMadeWho,Silence & Secrets - Black Coffee Remix,Silence & Secrets (Black Coffee Remix),2022,3ZZDwhwD6ZsFQW0IGfiKrG,43
Rhye,Patience,Spirit,2019,5pW62tsMUPtw8k69ifpcjJ,42
Dzeko,Heaven (feat. Veronica),Heaven (feat. Veronica),2019,5ql2mP9FUhB3SgMzv2akuO,41
Leon Vynehall,Birds On The Tarmac (Footnote III),Nothing Is Still,2018,5AdcWcvRVnQvFtJ90A2XUK,45
Peces Raros,No Van a Parar,Anestesia,2018,1GLYsZMbHm72Uy2QvzdgDQ,48
Miranda!,Me Gustas Tanto,Me Gustas Tanto,2019,76SrGtPpDkBrgJKzGM4Pn4,49
Paul Kalkbrenner,Graf Zahl,Graf Zahl,2021,33R7eq2Yqrhjz7eP6XhCsy,43
Chaos In The CBD,Emotional Intelligence,Chaos In The CBD & Friends,2020,3yMYs3jJdAPxMgqb0CYZUG,48
Rodrigo Gallardo,El Abuelo - Los Suruba & Marcelo Burlon Remix,El Abuelo,2018,6FpXQA9yfqvf6oVnhdnLP1,40
Faithless,God is A DJ,God Is a DJ,2021,4exGSaz6lVTxxZVF1xVD4k,45
HNNY,Kindness,Kindness,2020,7mY3gSbmqBfMqKv0cCyXJl,47
Moderat,FAST LAND,MORE D4TA,2022,7g6zG8DhkZoqhbTk5j0lbB,43
Floating Points,Falaise,Crush,2019,3rkJH9BaiCWpRY718WTkBP,46
Jayda G,Both Of Us,Both Of Us,2020,7q584VOAZLMPaIQ9pedKFl,46
