artista,cancion,album,año,spotify_id,popularidad
We Came As Romans,Darkbloom,Darkbloom,2022,5eqB8FjyujwxBGfdibWEuL,56
Motionless In White,Brand New Numb,Disguise,2019,0vPkRB52RENZMpHybpFKYK,58
Red Hot Chili Peppers,She's a Lover,Unlimited Love,2022,4c4TCbToFf6X8CncWJuHa3,52
Wind Rose,Mine Mine Mine!,Wintersaga,2019,2dDCZgcFGl9yj3ZEmaQM6x,51
Rammstein,Tattoo,Rammstein,2019,6X5zsgjDlssIkv0sVYZgx1,57
Bon Jovi,This House Is Not For Sale,This House Is Not For Sale,2018,4EcFiXdtuKbUwPB5XgTk4Z,47
Red Hot Chili Peppers,Black Summer,Unlimited Love,2022,2a5cbTg2UIi784t9E2wT35,53
Lorna Shore,Pain Remains I: Dancing Like Flames,Pain Remains,2022,227jOVNY1MrE5MkUcQRhsk,59
Saratoga,Acuérdate de Mí,Aeternus,2018,5IcxxbUvIQQoSOMvZ5YLQj,40
Soen,Lotus,Lotus,2019,6lThiyFluc0jY2O8SYg3II,46
