Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
Boundaries,3247079,55963,"There are several artists named Boundaries:

1) Boundaries is a five-piece metalcore band from Hartford, Connecticut, comprising of frontman Matt McDougal, drummer Tim Sullivan, bassist Nathan Calcagno and Cody DelVecchio and Cory Emond both on guitars. They released their first full-length album Your Receding Warmth in 2020, and their second full-length offering, Burying Brightness in 2022. The band is currently signed to 3DOT Recordings.

2) Boundaries is a shoegaze/post-punk band from Denmark. <a href=""https://www.last.fm/music/Boundaries"">Read more on Last.fm</a>","Foreign Hands, Boundaries, Matt Honeycutt, Dying Wish, Counterparts, Knocked Loose"
Joel Lindfors,117014,16407," <a href=""https://www.last.fm/music/Joel+Lindfors"">Read more on Last.fm</a>","Jake Howsam Lowe, Stephen Taranto, Interiors, Poh Hock, Connor Kaminski"
Svrm,323548,20599,"Atmospheric black metal from Kharkiv, Ukraine.
See Bandcamp for releases. <a href=""https://www.last.fm/music/svrm"">Read more on Last.fm</a>","Windswept, Drudkh, Khors, They Came From Visions, Ellende"
Lords of Black,326005,18808,"Lords of Black is a Spanish power metal band formed in Madrid in 2014 by guitarist Tony Hernando and singer Ronnie Romero.

Founding, early career
Tony Hernando founded, Lords Of Black with Ronnie Romero. They were joined in the project by drummer Andy Cobos who was previously in Saratoga with Hernando and they begin writing and recording their debut album with Tony Hernando and Roland Grapow acting as producers. Their debut, self-titled album, Lords of Black, was released in May 2014. <a href=""https://www.last.fm/music/Lords+of+Black"">Read more on Last.fm</a>","The Ferrymen, Manimal, Nils Patrik Johansson, Allen-Lande, Firewind"
Nachtblut,1115476,33211,"There are at least three bands called Nachtblut:

(1) Melodic Dark / Black Metal from Osnabrück, a small city near the economical and cultural metropolis Mettingen, in Germany.. Formed in 2005 by the singer and songwriter Askeroth. Released their first album ""Das erste Abendmahl"" in 2007. In the year 2009 they released their second album, titeld ""Antik"". http://www.nachtblut.com They have played several concerts in Mettingen, Wersen, Lotte and Ibbenbüren.  <a href=""https://www.last.fm/music/Nachtblut"">Read more on Last.fm</a>","Schwarzer Engel, Dorn, Eisregen, Dark the Suns, Cryptic Wintermoon"
Helleruin,191578,14280,"Helleruin is a Dutch black metal project from Groningen, founded in 2015. All studio instruments and vocals by Carchost. <a href=""https://www.last.fm/music/Helleruin"">Read more on Last.fm</a>","Warmoon Lord, Sarastus, Ninkharsag, Primordial Serpent, Doedsvangr"
Words Of Farewell,713279,27544,"Words of Farewell is a progressive/melodic death metal band from Münster/Ruhr, Germany formed in early 2007.

After four months of rehearsing, the 7 track EP 'Ashes of the Coming Dawn ' was recorded at Boombox Studios in Lünen and published in a quantity of 500 units.

In autumn 2008 the band recorded the 4 track CD 'From Now On...' for promotional purposes at Total Recall Studios in Herten. It was pressed in limited numbers to be sent out to record labels and venues, distributed at live concerts and additionally offered as free download. <a href=""https://www.last.fm/music/Words+of+Farewell"">Read more on Last.fm</a>","Fractal Gates, Horizon Ignited, Eye of the Enemy, Countless Skies, Lahmia"
Caligula's Horse,4878744,87723,"Taking their name from the mad Roman emperor and his beloved steed Incitatus, Caligula's Horse is an Australian progressive rock/metal band intent on bridging the gap between dynamic, meaningful songwriting and instrumental prowess.

The brainchild of guitarist, songwriter and producer Sam Vallen, Caligula's Horse - initially composed of just Vallen and vocalist Jim Grey - released its digital debut “Moments From Ephemeral City” in April 2011 <a href=""https://www.last.fm/music/Caligula%27s+Horse"">Read more on Last.fm</a>","Haken, Leprous, VOLA, Earthside, TesseracT"
Yoth Iria,242446,16347,"After years of inner peace, the chants of the unholy can now be heard again. A grand blend of heavy/doom and epic black metal that will travel the underground into dark realms and silent hills....
A sinister offspring of Jim Mutilator and The Magus.

A massive comeback from the duet, which developed and pioneered the underground scene back in the day. Jim Mutilator was the first bassist and a founding member of the Greek black metal band Rotting Christ. <a href=""https://www.last.fm/music/Yoth+Iria"">Read more on Last.fm</a>","Rotting Christ, In Aphelion, Winterfylleth, Sakis Tolis, Seth"
Code Orange,6220547,199019,"Code Orange (formerly Code Orange Kids) is an American metalcore band that formed in Pittsburgh, Pennsylvania, United States in 2008. The band consists of guitarist, keyboardist and backing vocalist Eric ""Shade"" Balderose, guitarist and vocalist Reba Meyers, vocalist and drummer Jami Morgan, bassist Joe Goldman, guitarist Dominic Landolina and session drummer Ethan Young.

The band signed to Deathwish Inc. for their first two studio albums: Love Is Love/Return to Dust released in 2012 and I Am King in 2014. <a href=""https://www.last.fm/music/Code+Orange"">Read more on Last.fm</a>","Code Orange Kids, Jesus Piece, Harm's Way, End, Vein.fm"
