artista,cancion,album,año,spotify_id,popularidad
Billie Eilish,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,6CcJMwBtXByIz4zQLzFkKc,80
Doja Cat,Woman,Planet Her,2021,6Uj1ctrBOjOas8xZXGqKk4,82
d4vd,Romantic Homicide,Romantic Homicide,2022,1xK59OXxi2TAAAbmZK0kBL,85
Billie Eilish,Happier Than Ever,Happier Than Ever,2021,4RVwu0g32PAqgUiJoXsdF8,81
Justin Bieber,Ghost,Justice,2021,6I3mqTwhRpn34SLVafSH7G,83
Rauw Alejandro,Algo Mágico,Afrodisíaco,2020,7D93pJcwymzaZx8WgBo2zG,70
Morat,Segundos Platos,SI AYER FUERA HOY,2022,1pHZf30WYm6CQukt7TvNPM,70
Taylor Swift,Lover,Lover,2019,1dGr1c8CrMLDpV6mPbImSI,83
Maluma,Aloha,"Aloha (feat. Darell, Mambo Kingz & Dj Luian)",2021,5RAIMjdrCEjpjaR5tBATXU,67
Piso 21,Déjala Que Vuelva (feat. Manuel Turizo),Ubuntu,2018,1j6xOGusnyXq3l6IryKF3G,75
ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,Icarus Falls,2018,3e7sxremeOE3wTySiOhGiP,80
Hotel Ugly,Shut up My Moms Calling,Shut up My Moms Calling,2020,3hxIUxnT27p5WcmjGUXNwx,85
Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),2018,7ef4DlsgrMEH11cDZd32M6,78
Taylor Swift,Christmas Tree Farm,Christmas Tree Farm,2019,2mvabkN1i2gLnGAPUVdwek,83
Taylor Swift,Anti-Hero,Midnights,2022,0V3wPSX9ygBnCm8psDIegu,81
The Neighbourhood,Softcore,Hard To Imagine The Neighbourhood Ever Changing,2018,2K7xn816oNHJZ0aVqdQsha,84
Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),2022,0WtM2NBVQNNJLh6scP13H8,79
Camilo,La Mitad,Por Primera Vez,2020,63Zaf8Rci6eOUPqDQ4fUFx,72
Taylor Swift,august,folklore,2020,3hUxzQpSfdDqwM3ZTFQY0K,82
Swedish House Mafia,Moth To A Flame (with The Weeknd),Paradise Again,2022,0VO8gYVDSwM1Qdd2GsMoYK,78
OneRepublic,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022,4h9wh7iOZ0GGn8QVp4RAOB,79
girl in red,we fell in love in october,we fell in love in october / October Passed Me By,2018,6IPwKM3fUUzlElbvKw2sKl,83
Jonas Brothers,Like It's Christmas,Like It's Christmas,2019,1OjmlSFuzYflWjSMTCyTJv,82
Feid,SI TÚ SUPIERAS - Bonus Track,INTER SHIBUYA - LA MAFIA,2021,1SCYfmGM5ueb6YiiQbLXVn,70
Billie Eilish,TV,Guitar Songs,2022,3GYlZ7tbxLOxe6ewMNVTkw,82
Olivia Rodrigo,happier,SOUR,2021,2tGvwE8GcFKwNdAXMnlbfl,81
Maria Becerra,ADIÓS,LA NENA DE ARGENTINA,2022,2bNCiY24Eh4saMcc23bvUN,69
The Neighbourhood,Reflections,Hard To Imagine The Neighbourhood Ever Changing,2018,2xql0pid3EUwW38AsywxhV,83
ACRAZE,Do It To It,Do It To It,2021,20on25jryn53hWghthWWW3,75
The Weeknd,I Was Never There,"My Dear Melancholy,",2018,1cKHdTo9u0ZymJdPGSh6nq,81
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021,4cG7HUWYHBV6R6tHn1gxrl,75
Tate McRae,that way,all the things i never said,2020,7l97ElWmIdVHWUaOeeU5ZC,77
Adele,Easy On Me,Easy On Me,2021,0gplL1WMoJ6iYaPgMCL0gX,77
Lana Del Rey,Cinnamon Girl,Norman Fucking Rockwell!,2019,2mdEsXPu8ZmkHRRtAdC09e,82
Romeo Santos,SIRI,"Fórmula, Vol. 3",2022,5S4aEL1BMsgLvCSt4BijHd,64
Dua Lipa,Levitating (feat. DaBaby),Future Nostalgia,2020,5nujrmhLynf4yMoMtj8AQF,79
Kali Uchis,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,2020,6tDDoYIxWvMLTdKpjFkc1B,81
James Arthur,Car's Outside,YOU,2019,0otRX6Z89qKkHkQ9OqJpKt,79
